Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tn,Chrome 125.0.0.0,,,14-06-2024 15:32:26,14-06-2024 15:32:38,11.447s,PASSED
,,,,,,,
Test Cases/tnpsc/aboutus,Chrome 125.0.0.0,,,14-06-2024 15:32:27,14-06-2024 15:32:27,0.288s,PASSED
return null,Chrome 125.0.0.0,,,14-06-2024 15:32:27,14-06-2024 15:32:27,0.003s,PASSED
,,,,,,,
Test Cases/tnpsc/employment,Chrome 125.0.0.0,,,14-06-2024 15:32:27,14-06-2024 15:32:27,0.020s,PASSED
return null,Chrome 125.0.0.0,,,14-06-2024 15:32:27,14-06-2024 15:32:27,0.002s,PASSED
,,,,,,,
Test Cases/tnpsc/faq,Chrome 125.0.0.0,,,14-06-2024 15:32:27,14-06-2024 15:32:38,10.853s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 15:32:27,14-06-2024 15:32:29,2.219s,PASSED
"navigateToUrl(""https://www.tnpsc.gov.in/English/vision_mission.html"")",Chrome 125.0.0.0,,,14-06-2024 15:32:29,14-06-2024 15:32:35,5.926s,PASSED
"click(findTestObject(""Object Repository/tnpsc/Page_TNPSC - Vision and Mission/h1_Vision and Mission""))",Chrome 125.0.0.0,,,14-06-2024 15:32:35,14-06-2024 15:32:36,0.478s,PASSED
"click(findTestObject(""Object Repository/tnpsc/Page_TNPSC - Vision and Mission/div_VISIONAS MANDATED BY THE CONSTITUTION O_e58a25""))",Chrome 125.0.0.0,,,14-06-2024 15:32:36,14-06-2024 15:32:36,0.296s,PASSED
"click(findTestObject(""Object Repository/tnpsc/Page_TNPSC - Vision and Mission/p_TNPSCS MISSION IS TO""))",Chrome 125.0.0.0,,,14-06-2024 15:32:36,14-06-2024 15:32:36,0.302s,PASSED
"click(findTestObject(""Object Repository/tnpsc/Page_TNPSC - Vision and Mission/ul_HomeAbout usVision and Mission""))",Chrome 125.0.0.0,,,14-06-2024 15:32:36,14-06-2024 15:32:37,0.293s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,14-06-2024 15:32:37,14-06-2024 15:32:38,1.146s,PASSED
,,,,,,,
Test Cases/tnpsc/govt users,Chrome 125.0.0.0,,,14-06-2024 15:32:38,14-06-2024 15:32:38,0.017s,PASSED
return null,Chrome 125.0.0.0,,,14-06-2024 15:32:38,14-06-2024 15:32:38,0.001s,PASSED
,,,,,,,
Test Cases/tnpsc/home,Chrome 125.0.0.0,,,14-06-2024 15:32:38,14-06-2024 15:32:38,0.012s,PASSED
return null,Chrome 125.0.0.0,,,14-06-2024 15:32:38,14-06-2024 15:32:38,0.001s,PASSED
,,,,,,,
Test Cases/tnpsc/recruitments,Chrome 125.0.0.0,,,14-06-2024 15:32:38,14-06-2024 15:32:38,0.013s,PASSED
return null,Chrome 125.0.0.0,,,14-06-2024 15:32:38,14-06-2024 15:32:38,0.000s,PASSED
,,,,,,,
Test Cases/tnpsc/rti,Chrome 125.0.0.0,,,14-06-2024 15:32:38,14-06-2024 15:32:38,0.011s,PASSED
return null,Chrome 125.0.0.0,,,14-06-2024 15:32:38,14-06-2024 15:32:38,0.000s,PASSED
