Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ktu1,Chrome 125.0.0.0,,,13-06-2024 14:51:49,13-06-2024 14:53:00,1m - 10.387s,FAILED
,,,,,,,
Test Cases/academics,Chrome 125.0.0.0,,,13-06-2024 14:51:49,13-06-2024 14:51:50,0.237s,PASSED
return null,Chrome 125.0.0.0,,,13-06-2024 14:51:50,13-06-2024 14:51:50,0.002s,PASSED
,,,,,,,
Test Cases/affiliation,Chrome 125.0.0.0,,,13-06-2024 14:51:50,13-06-2024 14:51:50,0.017s,PASSED
return null,Chrome 125.0.0.0,,,13-06-2024 14:51:50,13-06-2024 14:51:50,0.001s,PASSED
,,,,,,,
Test Cases/examination,Chrome 125.0.0.0,,,13-06-2024 14:51:50,13-06-2024 14:51:50,0.028s,PASSED
return null,Chrome 125.0.0.0,,,13-06-2024 14:51:50,13-06-2024 14:51:50,0.000s,PASSED
,,,,,,,
Test Cases/legal,Chrome 125.0.0.0,,,13-06-2024 14:52:48,13-06-2024 14:52:59,11.935s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:52:48,13-06-2024 14:52:51,3.717s,PASSED
"navigateToUrl(""https://www.ktu.edu.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:52:51,13-06-2024 14:52:59,7.701s,PASSED
"click(findTestObject(""Object Repository/Page_APJ Abdul Kalam Technological University/a_Affiliation""))",Chrome 125.0.0.0,,,13-06-2024 14:52:59,13-06-2024 14:52:59,0.480s,FAILED
,,,,,,,
Test Cases/research,Chrome 125.0.0.0,,,13-06-2024 14:53:00,13-06-2024 14:53:00,0.011s,PASSED
return null,Chrome 125.0.0.0,,,13-06-2024 14:53:00,13-06-2024 14:53:00,0.000s,PASSED
